Inicio,Fim,SE,Confirmados,Prováveis,Suspeitos,Descartados,Perdas de Seguimento,Exclusões,Óbitos,Total Casos Novos,Notificados
11/09/2022,15/09/2022,1,96,52,427,246,5,4,0,148,830
16/09/2022,19/09/2022,2,111,52,444,265,9,4,0,163,885
20/09/2022,22/09/2022,3,118,53,481,296,10,5,0,171,963
23/09/2022,26/09/2022,4,126,59,558,321,9,8,0,185,1081
27/09/2022,29/09/2022,5,128,67,593,335,18,8,0,195,1149
30/09/2022,03/10/2022,6,144,63,644,350,20,14,0,207,1235
04/10/2022,06/10/2022,7,154,65,690,383,21,14,0,219,1327
07/10/2022,10/10/2022,8,164,62,638,464,34,14,0,226,1376
11/10/2022,13/10/2022,9,164,61,681,476,38,14,0,225,1434
